"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","ALCOHOLTYPE (CODE)","ALCOHOLTYPE (DISPLAY)","ALCOHOLTYPE (URL)","Display Value","Numeric","Low","High","Comments"
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","AFR","Africa","","RWA","Rwanda","","SA_SPIRITS","Spirits","","0.4","0.40000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","AFR","Africa","","GHA","Ghana","","SA_OTHER_ALCOHOL","Other alcoholic beverages","","57.3","57.30000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","WPR","Western Pacific","","PLW","Palau","","SA_OTHER_ALCOHOL","Other alcoholic beverages","","0.0","0.00000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","AMR","Americas","","GUY","Guyana","","SA_SPIRITS","Spirits","","76.6","76.60000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","SEAR","South-East Asia","","TLS","Timor-Leste","","SA_SPIRITS","Spirits","","14.8","14.80000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","EUR","Europe","","SVK","Slovakia","","SA_BEER","Beer","","30.1","30.10000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","AFR","Africa","","BDI","Burundi","","SA_SPIRITS","Spirits","","0.1","0.10000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","AMR","Americas","","HND","Honduras","","SA_OTHER_ALCOHOL","Other alcoholic beverages","","0.0","0.00000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","EUR","Europe","","AUT","Austria","","SA_BEER","Beer","","50.4","50.40000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","EUR","Europe","","MNE","Montenegro","","SA_SPIRITS","Spirits","","41.7","41.70000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","EUR","Europe","","POL","Poland","","SA_BEER","Beer","","55.1","55.10000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","EMR","Eastern Mediterranean","","YEM","Yemen","","SA_BEER","Beer","","100.0","100.00000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","EUR","Europe","","HRV","Croatia","","SA_OTHER_ALCOHOL","Other alcoholic beverages","","0.2","0.20000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","AFR","Africa","","MWI","Malawi","","SA_SPIRITS","Spirits","","13.4","13.40000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","SEAR","South-East Asia","","BGD","Bangladesh","","SA_SPIRITS","Spirits","","No data","","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","AFR","Africa","","COG","Congo","","SA_SPIRITS","Spirits","","10.9","10.90000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","EUR","Europe","","CHE","Switzerland","","SA_BEER","Beer","","31.8","31.80000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","EUR","Europe","","GBR","United Kingdom of Great Britain and Northern Ireland","","SA_WINE","Wine","","33.8","33.80000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","WPR","Western Pacific","","TON","Tonga","","SA_BEER","Beer","","57.9","57.90000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","EUR","Europe","","KAZ","Kazakhstan","","SA_OTHER_ALCOHOL","Other alcoholic beverages","","0.0","0.00000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","AMR","Americas","","GRD","Grenada","","SA_SPIRITS","Spirits","","66.2","66.20000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","SEAR","South-East Asia","","PRK","Democratic People's Republic of Korea","","SA_WINE","Wine","","No data","","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","EUR","Europe","","BIH","Bosnia and Herzegovina","","SA_WINE","Wine","","3.2","3.20000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","AFR","Africa","","MLI","Mali","","SA_WINE","Wine","","1.5","1.50000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","AFR","Africa","","BEN","Benin","","SA_BEER","Beer","","54.6","54.60000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","EMR","Eastern Mediterranean","","IRN","Iran (Islamic Republic of)","","SA_WINE","Wine","","No data","","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","WPR","Western Pacific","","MHL","Marshall Islands","","SA_SPIRITS","Spirits","","No data","","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","AFR","Africa","","NAM","Namibia","","SA_WINE","Wine","","0.3","0.30000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","AMR","Americas","","PAN","Panama","","SA_SPIRITS","Spirits","","26.0","26.00000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","EUR","Europe","","AUT","Austria","","SA_SPIRITS","Spirits","","14.0","14.00000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","EUR","Europe","","MLT","Malta","","SA_SPIRITS","Spirits","","27.2","27.20000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","EUR","Europe","","SWE","Sweden","","SA_OTHER_ALCOHOL","Other alcoholic beverages","","1.4","1.40000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","EUR","Europe","","UZB","Uzbekistan","","SA_WINE","Wine","","6.3","6.30000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","WPR","Western Pacific","","MNG","Mongolia","","SA_WINE","Wine","","2.8","2.80000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","EMR","Eastern Mediterranean","","SYR","Syrian Arab Republic","","SA_SPIRITS","Spirits","","63.5","63.50000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","EUR","Europe","","AUT","Austria","","SA_WINE","Wine","","35.5","35.50000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","SEAR","South-East Asia","","PRK","Democratic People's Republic of Korea","","SA_SPIRITS","Spirits","","No data","","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","EUR","Europe","","CHE","Switzerland","","SA_WINE","Wine","","49.4","49.40000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","EUR","Europe","","UZB","Uzbekistan","","SA_BEER","Beer","","18.3","18.30000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","EUR","Europe","","BIH","Bosnia and Herzegovina","","SA_SPIRITS","Spirits","","67.7","67.70000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","WPR","Western Pacific","","SLB","Solomon Islands","","SA_OTHER_ALCOHOL","Other alcoholic beverages","","0.0","0.00000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","AMR","Americas","","NIC","Nicaragua","","SA_SPIRITS","Spirits","","60.6","60.60000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","EUR","Europe","","ISR","Israel","","SA_WINE","Wine","","6.2","6.20000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","EUR","Europe","","SVK","Slovakia","","SA_SPIRITS","Spirits","","46.2","46.20000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","EMR","Eastern Mediterranean","","KWT","Kuwait","","SA_WINE","Wine","","10.8","10.80000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","EMR","Eastern Mediterranean","","EGY","Egypt","","SA_BEER","Beer","","53.8","53.80000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","AMR","Americas","","VEN","Venezuela (Bolivarian Republic of)","","SA_WINE","Wine","","0.8","0.80000","","",""
"SA_0000001398","Consumption of pure alcohol by type of beverage (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=462","PUBLISHED","Published","","2010","2010","","EUR","Europe","","KGZ","Kyrgyzstan","","SA_BEER","Beer","","22.6","22.60000","","",""
